"series_code","period","value","vintage"
"CPS00000","2008-01",41.9,"2026-08-26 15:43:40 UTC"
"CPS00000","2008-02",42.2,"2026-08-26 15:43:40 UTC"
"CPS00000","2008-03",42.8,"2026-08-26 15:43:40 UTC"
"CPS00000","2008-04",43,"2026-08-26 15:43:40 UTC"
"CPS00000","2008-05",43.3,"2026-08-26 15:43:40 UTC"
"CPS00000","2008-06",43.9,"2026-08-26 15:43:40 UTC"
"CPS00000","2008-07",44.5,"2026-08-26 15:43:40 UTC"
"CPS00000","2008-08",44.8,"2026-08-26 15:43:40 UTC"
"CPS00000","2008-09",45,"2026-08-26 15:43:40 UTC"
"CPS00000","2008-10",45,"2026-08-26 15:43:40 UTC"
"CPS00000","2008-11",45.1,"2026-08-26 15:43:40 UTC"
"CPS00000","2008-12",45,"2026-08-26 15:43:40 UTC"
"CPS00000","2009-01",45.3,"2026-08-26 15:43:40 UTC"
"CPS00000","2009-02",45.7,"2026-08-26 15:43:40 UTC"
"CPS00000","2009-03",46.4,"2026-08-26 15:43:40 UTC"
"CPS00000","2009-04",46.6,"2026-08-26 15:43:40 UTC"
"CPS00000","2009-05",46.8,"2026-08-26 15:43:40 UTC"
"CPS00000","2009-06",47,"2026-08-26 15:43:40 UTC"
"CPS00000","2009-07",47.5,"2026-08-26 15:43:40 UTC"
"CPS00000","2009-08",47.5,"2026-08-26 15:43:40 UTC"
"CPS00000","2009-09",47.9,"2026-08-26 15:43:40 UTC"
"CPS00000","2009-10",47.9,"2026-08-26 15:43:40 UTC"
"CPS00000","2009-11",47.9,"2026-08-26 15:43:40 UTC"
"CPS00000","2009-12",47.9,"2026-08-26 15:43:40 UTC"
"CPS00000","2010-01",48.1,"2026-08-26 15:43:40 UTC"
"CPS00000","2010-02",48.4,"2026-08-26 15:43:40 UTC"
"CPS00000","2010-03",48.8,"2026-08-26 15:43:40 UTC"
"CPS00000","2010-04",48.8,"2026-08-26 15:43:40 UTC"
"CPS00000","2010-05",48.9,"2026-08-26 15:43:40 UTC"
"CPS00000","2010-06",48.9,"2026-08-26 15:43:40 UTC"
"CPS00000","2010-07",49.3,"2026-08-26 15:43:40 UTC"
"CPS00000","2010-08",49.3,"2026-08-26 15:43:40 UTC"
"CPS00000","2010-09",49.3,"2026-08-26 15:43:40 UTC"
"CPS00000","2010-10",49.4,"2026-08-26 15:43:40 UTC"
"CPS00000","2010-11",49.5,"2026-08-26 15:43:40 UTC"
"CPS00000","2010-12",49.6,"2026-08-26 15:43:40 UTC"
"CPS00000","2011-01",49.9,"2026-08-26 15:43:40 UTC"
"CPS00000","2011-02",50.1,"2026-08-26 15:43:40 UTC"
"CPS00000","2011-03",50.7,"2026-08-26 15:43:40 UTC"
"CPS00000","2011-04",51,"2026-08-26 15:43:40 UTC"
"CPS00000","2011-05",51.2,"2026-08-26 15:43:40 UTC"
"CPS00000","2011-06",51.4,"2026-08-26 15:43:40 UTC"
"CPS00000","2011-07",51.8,"2026-08-26 15:43:40 UTC"
"CPS00000","2011-08",51.9,"2026-08-26 15:43:40 UTC"
"CPS00000","2011-09",52.1,"2026-08-26 15:43:40 UTC"
"CPS00000","2011-10",52.4,"2026-08-26 15:43:40 UTC"
"CPS00000","2011-11",52.5,"2026-08-26 15:43:40 UTC"
"CPS00000","2011-12",52.6,"2026-08-26 15:43:40 UTC"
"CPS00000","2012-01",52.9,"2026-08-26 15:43:40 UTC"
"CPS00000","2012-02",53.2,"2026-08-26 15:43:40 UTC"
"CPS00000","2012-03",53.8,"2026-08-26 15:43:40 UTC"
"CPS00000","2012-04",54,"2026-08-26 15:43:40 UTC"
"CPS00000","2012-05",54,"2026-08-26 15:43:40 UTC"
"CPS00000","2012-06",54.3,"2026-08-26 15:43:40 UTC"
"CPS00000","2012-07",54.3,"2026-08-26 15:43:40 UTC"
"CPS00000","2012-08",54.5,"2026-08-26 15:43:40 UTC"
"CPS00000","2012-09",55,"2026-08-26 15:43:40 UTC"
"CPS00000","2012-10",55.4,"2026-08-26 15:43:40 UTC"
"CPS00000","2012-11",55.5,"2026-08-26 15:43:40 UTC"
"CPS00000","2012-12",55.6,"2026-08-26 15:43:40 UTC"
"CPS00000","2013-01",55.7,"2026-08-26 15:43:40 UTC"
"CPS00000","2013-02",56.3,"2026-08-26 15:43:40 UTC"
"CPS00000","2013-03",57,"2026-08-26 15:43:40 UTC"
"CPS00000","2013-04",57.2,"2026-08-26 15:43:40 UTC"
"CPS00000","2013-05",57.1,"2026-08-26 15:43:40 UTC"
"CPS00000","2013-06",57.2,"2026-08-26 15:43:40 UTC"
"CPS00000","2013-07",57.8,"2026-08-26 15:43:40 UTC"
"CPS00000","2013-08",58,"2026-08-26 15:43:40 UTC"
"CPS00000","2013-09",58.2,"2026-08-26 15:43:40 UTC"
"CPS00000","2013-10",58.4,"2026-08-26 15:43:40 UTC"
"CPS00000","2013-11",58.5,"2026-08-26 15:43:40 UTC"
"CPS00000","2013-12",58.6,"2026-08-26 15:43:40 UTC"
"CPS00000","2014-01",59,"2026-08-26 15:43:40 UTC"
"CPS00000","2014-02",59.6,"2026-08-26 15:43:40 UTC"
"CPS00000","2014-03",60.5,"2026-08-26 15:43:40 UTC"
"CPS00000","2014-04",60.7,"2026-08-26 15:43:40 UTC"
"CPS00000","2014-05",60.8,"2026-08-26 15:43:40 UTC"
"CPS00000","2014-06",61.1,"2026-08-26 15:43:40 UTC"
"CPS00000","2014-07",61.5,"2026-08-26 15:43:40 UTC"
"CPS00000","2014-08",61.8,"2026-08-26 15:43:40 UTC"
"CPS00000","2014-09",61.8,"2026-08-26 15:43:40 UTC"
"CPS00000","2014-10",61.8,"2026-08-26 15:43:40 UTC"
"CPS00000","2014-11",61.8,"2026-08-26 15:43:40 UTC"
"CPS00000","2014-12",61.8,"2026-08-26 15:43:40 UTC"
"CPS00000","2015-01",61.7,"2026-08-26 15:43:40 UTC"
"CPS00000","2015-02",62,"2026-08-26 15:43:40 UTC"
"CPS00000","2015-03",62.9,"2026-08-26 15:43:40 UTC"
"CPS00000","2015-04",63.5,"2026-08-26 15:43:40 UTC"
