"series_code","period","value","vintage"
"QRS1001","1993Q1",43536.5056776277,"2026-08-26 15:43:40 UTC"
"QRS1001","1993Q2",55928.170814583,"2026-08-26 15:43:40 UTC"
"QRS1001","1993Q3",69317.4617223353,"2026-08-26 15:43:40 UTC"
"QRS1001","1993Q4",75983.469021084,"2026-08-26 15:43:40 UTC"
"QRS1001","1994Q1",64026.6206528956,"2026-08-26 15:43:40 UTC"
"QRS1001","1994Q2",64285.0225880936,"2026-08-26 15:43:40 UTC"
"QRS1001","1994Q3",65254.4196473216,"2026-08-26 15:43:40 UTC"
"QRS1001","1994Q4",70536.027318934,"2026-08-26 15:43:40 UTC"
"QRS1001","1995Q1",62672.0927317966,"2026-08-26 15:43:40 UTC"
"QRS1001","1995Q2",52991.9447074582,"2026-08-26 15:43:40 UTC"
"QRS1001","1995Q3",47926.6472223295,"2026-08-26 15:43:40 UTC"
"QRS1001","1995Q4",47955.0895944186,"2026-08-26 15:43:40 UTC"
"QRS1001","1996Q1",56621.5917958536,"2026-08-26 15:43:40 UTC"
"QRS1001","1996Q2",65704.2673192096,"2026-08-26 15:43:40 UTC"
"QRS1001","1996Q3",69593.8723572848,"2026-08-26 15:43:40 UTC"
"QRS1001","1996Q4",70397.0286050957,"2026-08-26 15:43:40 UTC"
"QRS1001","1997Q1",66237.4717399277,"2026-08-26 15:43:40 UTC"
"QRS1001","1997Q2",66449.9171583351,"2026-08-26 15:43:40 UTC"
"QRS1001","1997Q3",66273.4820732241,"2026-08-26 15:43:40 UTC"
"QRS1001","1997Q4",65716.7399466536,"2026-08-26 15:43:40 UTC"
"QRS1001","1998Q1",63527.7459177183,"2026-08-26 15:43:40 UTC"
"QRS1001","1998Q2",62037.5801327373,"2026-08-26 15:43:40 UTC"
"QRS1001","1998Q3",61859.2425213785,"2026-08-26 15:43:40 UTC"
"QRS1001","1998Q4",63225.128967645,"2026-08-26 15:43:40 UTC"
"QRS1001","1999Q1",64897.5480539465,"2026-08-26 15:43:40 UTC"
"QRS1001","1999Q2",65754.8497845647,"2026-08-26 15:43:40 UTC"
"QRS1001","1999Q3",66904.5453658236,"2026-08-26 15:43:40 UTC"
