"series_code","period","value","vintage"
"PPC30000","2012-01",48.8,"2026-08-26 16:01:36"
"PPC30000","2012-02",49.2,"2026-08-26 16:01:36"
"PPC30000","2012-03",49.5,"2026-08-26 16:01:36"
"PPC30000","2012-04",49.8,"2026-08-26 16:01:36"
"PPC30000","2012-05",50.2,"2026-08-26 16:01:36"
"PPC30000","2012-06",50.1,"2026-08-26 16:01:36"
"PPC30000","2012-07",50.1,"2026-08-26 16:01:36"
"PPC30000","2012-08",50.5,"2026-08-26 16:01:36"
"PPC30000","2012-09",50.6,"2026-08-26 16:01:36"
"PPC30000","2012-10",51.1,"2026-08-26 16:01:36"
"PPC30000","2012-11",51.5,"2026-08-26 16:01:36"
"PPC30000","2012-12",51.3,"2026-08-26 16:01:36"
"PPC30000","2013-01",51.5,"2026-08-26 16:01:36"
"PPC30000","2013-02",51.9,"2026-08-26 16:01:36"
"PPC30000","2013-03",52.3,"2026-08-26 16:01:36"
"PPC30000","2013-04",52.5,"2026-08-26 16:01:36"
"PPC30000","2013-05",52.7,"2026-08-26 16:01:36"
"PPC30000","2013-06",53.1,"2026-08-26 16:01:36"
"PPC30000","2013-07",53.4,"2026-08-26 16:01:36"
"PPC30000","2013-08",53.8,"2026-08-26 16:01:36"
"PPC30000","2013-09",54.1,"2026-08-26 16:01:36"
"PPC30000","2013-10",54.3,"2026-08-26 16:01:36"
"PPC30000","2013-11",54.4,"2026-08-26 16:01:36"
"PPC30000","2013-12",54.6,"2026-08-26 16:01:36"
"PPC30000","2014-01",55.2,"2026-08-26 16:01:36"
"PPC30000","2014-02",55.8,"2026-08-26 16:01:36"
"PPC30000","2014-03",56.6,"2026-08-26 16:01:36"
"PPC30000","2014-04",57.1,"2026-08-26 16:01:36"
"PPC30000","2014-05",57.2,"2026-08-26 16:01:36"
"PPC30000","2014-06",57.4,"2026-08-26 16:01:36"
"PPC30000","2014-07",57.6,"2026-08-26 16:01:36"
"PPC30000","2014-08",57.6,"2026-08-26 16:01:36"
"PPC30000","2014-09",57.7,"2026-08-26 16:01:36"
"PPC30000","2014-10",57.9,"2026-08-26 16:01:36"
"PPC30000","2014-11",57.9,"2026-08-26 16:01:36"
"PPC30000","2014-12",57.8,"2026-08-26 16:01:36"
"PPC30000","2015-01",57.1,"2026-08-26 16:01:36"
"PPC30000","2015-02",57.3,"2026-08-26 16:01:36"
"PPC30000","2015-03",58.3,"2026-08-26 16:01:36"
"PPC30000","2015-04",58.8,"2026-08-26 16:01:36"
"PPC30000","2015-05",59.3,"2026-08-26 16:01:36"
"PPC30000","2015-06",59.5,"2026-08-26 16:01:36"
"PPC30000","2015-07",59.6,"2026-08-26 16:01:36"
"PPC30000","2015-08",59.6,"2026-08-26 16:01:36"
"PPC30000","2015-09",59.8,"2026-08-26 16:01:36"
"PPC30000","2015-10",60.3,"2026-08-26 16:01:36"
"PPC30000","2015-11",60.4,"2026-08-26 16:01:36"
"PPC30000","2015-12",60.5,"2026-08-26 16:01:36"
